PSize;OD;thk
DN6_1/8";10.29;3.15
DN8_1/4";13.72;3.68
DN10_3/8";17.14;4.01
DN15_1/2";21.34;4.78
DN20_3/4";26.67;5.56
DN25_1";33.4;6.35
DN32_1-1/4";42.16;6.35
DN40_1-1/2";48.26;7.14
DN50_2";60.32;8.74
DN65_2-1/2";73.02;9.52
DN80_3";88.9;11.13
DN100_4";114.3;13.49
DN125_5";141.3;15.88
DN150_6";168.27;18.26
DN200_8";219.07;23.01
DN250_10";273.05;28.58
DN300_12";323.85;33.32
DN350_14";355.6;35.71
DN400_16";406.4;40.49
DN450_18";457.2;45.24
DN500_20";508;50.01
DN550_22";558.8;53.98
DN600_24";609.6;59.54
