Psize;PSize2;OD;OD2;thk;thk2;H
DN20;DN15;26.67;21.34;3.91;3.73;2.87
DN25;DN15>DN20;33.4;21.34>26.67;4.55;3.73>3.91;3.38
DN32;DN15>DN20>DN25;42.16;21.34>26.67>33.4;4.85;3.73>3.91>4.55;3.56
DN40;DN15>DN20>DN25>DN32;48.26;21.34>26.67>33.4>42.16;5.08;3.73>3.91>4.55>4.85;3.68
DN50;DN20>DN25>DN32>DN40;60.32;26.67>33.4>42.16>48.26;5.54;3.91>4.55>4.85>5.08;3.91
DN65;DN25>DN32>DN40>DN50;73.02;33.4>42.16>48.26>60.32;7.01;4.55>4.85>5.08>5.54;5.16
DN80;DN32>DN40>DN50>DN65;88.9;42.16>48.26>60.32>73.02;7.62;4.85>5.08>5.54>7.01;5.49
DN90;DN32>DN40>DN50>DN65>DN80;101.6;42.16>48.26>60.32>73.02>88.9;8.08;4.85>5.08>5.54>7.01>7.62;5.74
DN100;DN40>DN50>DN65>DN80>DN90;114.3;48.26>60.32>73.02>88.9>101.6;3.2;5.08>5.54>7.01>7.62>8.08;2.31
DN125;DN50>DN65>DN80>DN90>DN100;141.3;60.32>73.02>88.9>101.6>114.3;3.2;5.54>7.01>7.62>8.08>8.56;2.31
DN150;DN65>DN80>DN90>DN100>DN125;168.27;73.02>88.9>101.6>114.3>141.3;3.73;7.01>7.62>8.08>8.56>9.52;2.77
DN200;DN90>DN100>DN125>DN150;219.07;101.6>114.3>141.3>168.27;3.91;8.08>8.56>9.52>10.97;2.87
DN250;DN100>DN125>DN150>DN200;273.05;114.3>141.3>168.27>219.07;4.55;8.56>9.52>10.97>12.7;3.38
DN300;DN125>DN150>DN200>DN250;323.85;141.3>168.27>219.07>273.05;4.55;9.52>10.97>12.7>12.7;3.38
DN350;DN150>DN200>DN250>DN300;355.6;168.27>219.07>273.05>323.85;4.85;10.97>12.7>12.7>12.7;3.56
DN400;DN200>DN250>DN300>DN350;406.4;219.07>273.05>323.85>355.6;5.08;12.7>12.7>12.7>12.7;3.68
DN450;DN250>DN300>DN350>DN400;457.2;273.05>323.85>355.6>406.4;5.08;12.7>12.7>12.7>12.7;3.68
DN500;DN300>DN350>DN400>DN450;508;323.85>355.6>406.4>457.2;5.54;12.7>12.7>12.7>12.7;3.91
DN550;DN350>DN400>DN450>DN500;558.8;355.6>406.4>457.2>508;5.54;12.7>12.7>12.7>12.7;3.91
DN600;DN400>DN450>DN500>DN550;609.6;406.4>457.2>508>558.8;5.54;12.7>12.7>12.7>12.7;3.91
