Psize;PSize2;OD;OD2;thk;thk2;H
DN20;DN15;26.67;21.34;7.82;7.47;2.87
DN25;DN15>DN20;33.4;21.34>26.67;9.09;7.47>7.82;3.38
DN32;DN15>DN20>DN25;42.16;21.34>26.67>33.4;9.7;7.47>7.82>9.09;3.56
DN40;DN15>DN20>DN25>DN32;48.26;21.34>26.67>33.4>42.16;10.16;7.47>7.82>9.09>9.7;3.68
DN50;DN20>DN25>DN32>DN40;60.32;26.67>33.4>42.16>48.26;11.07;7.82>9.09>9.7>10.16;3.91
DN65;DN25>DN32>DN40>DN50;73.02;33.4>42.16>48.26>60.32;14.02;9.09>9.7>10.16>11.07;5.16
DN80;DN32>DN40>DN50>DN65;88.9;42.16>48.26>60.32>73.02;15.24;9.7>10.16>11.07>14.02;5.49
DN100;DN40>DN50>DN65>DN80>DN90;114.3;48.26>60.32>73.02>88.9>101.6;17.12;10.16>11.07>14.02>15.24>0;2.31
DN125;DN50>DN65>DN80>DN90>DN100;141.3;60.32>73.02>88.9>101.6>114.3;19.05;11.07>14.02>15.24>0>17.12;2.31
DN150;DN65>DN80>DN90>DN100>DN125;168.27;73.02>88.9>101.6>114.3>141.3;21.95;14.02>15.24>0>17.12>19.05;2.77
DN200;DN90>DN100>DN125>DN150;219.07;101.6>114.3>141.3>168.27;22.22;0>17.12>19.05>21.95;2.87
DN250;DN100>DN125>DN150>DN200;273.05;114.3>141.3>168.27>219.07;25.4;17.12>19.05>21.95>22.22;3.38
DN300;DN125>DN150>DN200>DN250;323.85;141.3>168.27>219.07>273.05;25.4;19.05>21.95>22.22>25.4;3.38
