PSize;OD;OD2;thk;thk2;C;M
DN15xDN15;21.34;21.34;2.77;2.77;25;25
DN20xDN20;26.67;26.67;2.87;2.87;29;29
DN25xDN25;33.4;33.4;3.38;3.38;38;38
DN32xDN25;42.16;33.4;3.56;3.38;48;48
DN32xDN32;42.16;42.16;3.56;3.56;48;48
DN40xDN25;48.26;33.4;3.68;3.38;57;57
DN40xDN32;48.26;42.16;3.68;3.56;57;57
DN40xDN40;48.26;48.26;3.68;3.68;57;57
DN50xDN25;60.32;33.4;3.91;3.38;64;51
DN50xDN32;60.32;42.16;3.91;3.56;64;57
DN50xDN40;60.32;48.26;3.91;3.68;64;60
DN50xDN50;60.32;60.32;3.91;3.91;64;64
DN65xDN25;73.02;33.4;5.16;3.38;76;57
DN65xDN32;73.02;42.16;5.16;3.56;76;64
DN65xDN40;73.02;48.26;5.16;3.68;76;67
DN65xDN50;73.02;60.32;5.16;3.91;76;70
DN65xDN65;73.02;73.02;5.16;5.16;76;76
DN80xDN32;88.9;42.16;5.49;3.56;86;70
DN80xDN40;88.9;48.26;5.49;3.68;86;73
DN80xDN50;88.9;60.32;5.49;3.91;86;76
DN80xDN80;88.9;88.9;5.49;5.49;86;86
DN90xDN90;101.6;101.6;5.74;5.74;95;95
DN100xDN40;114.3;48.26;6.02;3.68;105;86
DN100xDN50;114.3;60.32;6.02;3.91;105;89
DN100xDN80;114.3;88.9;6.02;5.49;105;98
DN100xDN100;114.3;114.3;6.02;6.02;105;105
DN125xDN125;141.3;141.3;6.55;6.55;124;124
DN150xDN80;168.27;88.9;7.11;5.49;143;124
DN150xDN100;168.27;114.3;7.11;6.02;143;130
DN150xDN150;168.27;168.27;7.11;7.11;143;143
DN200xDN100;219.07;114.3;8.18;6.02;178;156
DN200xDN150;219.07;168.27;8.18;7.11;178;168
DN200xDN200;219.07;219.07;8.18;8.18;178;178
DN250xDN100;273.05;114.3;7.8;6.02;216;184
DN250xDN150;273.05;168.27;7.8;7.11;216;194
DN250xDN200;273.05;219.07;7.8;8.18;216;203
DN250xDN250;273.05;273.05;7.8;7.8;216;216
DN300xDN150;323.85;168.27;9.52;7.11;254;219
DN300xDN200;323.85;219.07;9.52;8.18;254;229
DN300xDN250;323.85;273.05;9.52;7.8;254;241
DN300xDN300;323.85;323.85;9.52;9.52;254;254
DN350xDN150;355.6;168.27;9.52;7.11;279;238
DN350xDN200;355.6;219.07;9.52;8.18;279;248
DN350xDN250;355.6;273.05;9.52;7.8;279;257
DN350xDN300;355.6;323.85;9.52;9.52;279;270
DN350xDN350;355.6;355.6;9.52;9.52;279;279
DN400xDN150;406.4;168.27;9.52;7.11;305;264
DN400xDN200;406.4;219.07;9.52;8.18;305;273
DN400xDN250;406.4;273.05;9.52;7.8;305;283
DN400xDN300;406.4;323.85;9.52;9.52;305;295
DN400xDN350;406.4;355.6;9.52;9.52;305;305
DN400xDN400;406.4;406.4;9.52;9.52;305;305
DN450xDN200;457.2;219.07;9.52;8.18;343;298
DN450xDN250;457.2;273.05;9.52;7.8;343;308
DN450xDN300;457.2;323.85;9.52;9.52;343;321
DN450xDN350;457.2;355.6;9.52;9.52;343;330
DN450xDN400;457.2;406.4;9.52;9.52;343;330
DN450xDN450;457.2;457.2;9.52;9.52;343;343
DN500xDN200;508;219.07;9.52;8.18;381;324
DN500xDN250;508;273.05;9.52;7.8;381;333
DN500xDN300;508;323.85;9.52;9.52;381;346
DN500xDN350;508;355.6;9.52;9.52;381;356
DN500xDN400;508;406.4;9.52;9.52;381;356
DN500xDN450;508;457.2;9.52;9.52;381;368
DN500xDN500;508;508;9.52;9.52;381;381
DN550xDN250;558.8;273.05;9.52;7.8;419;359
DN550xDN300;558.8;323.85;9.52;9.52;419;371
DN550xDN350;558.8;355.6;9.52;9.52;419;381
DN550xDN400;558.8;406.4;9.52;9.52;419;381
DN550xDN450;558.8;457.2;9.52;9.52;419;394
DN550xDN500;558.8;508;9.52;9.52;419;406
DN550xDN550;558.8;558.8;9.52;9.52;419;419
DN600xDN250;609.6;273.05;9.52;7.8;432;384
DN600xDN300;609.6;323.85;9.52;9.52;432;397
DN600xDN350;609.6;355.6;9.52;9.52;432;406
DN600xDN400;609.6;406.4;9.52;9.52;432;406
DN600xDN450;609.6;457.2;9.52;9.52;432;419
DN600xDN500;609.6;508;9.52;9.52;432;432
DN600xDN550;609.6;558.8;9.52;9.52;432;432
DN600xDN600;609.6;609.6;9.52;9.52;432;432
