PSize;OD;OD2;thk;thk2;C;M
DN15xDN15;21.34;21.34;3.73;3.73;25;25
DN20xDN20;26.67;26.67;3.91;3.91;29;29
DN25xDN25;33.4;33.4;4.55;4.55;38;38
DN32xDN25;42.16;33.4;4.85;4.55;48;48
DN32xDN32;42.16;42.16;4.85;4.85;48;48
DN40xDN25;48.26;33.4;5.08;4.55;57;57
DN40xDN32;48.26;42.16;5.08;4.85;57;57
DN40xDN40;48.26;48.26;5.08;5.08;57;57
DN50xDN25;60.32;33.4;5.54;4.55;64;51
DN50xDN32;60.32;42.16;5.54;4.85;64;57
DN50xDN40;60.32;48.26;5.54;5.08;64;60
DN50xDN50;60.32;60.32;5.54;5.54;64;64
DN65xDN25;73.02;33.4;7.01;4.55;76;57
DN65xDN32;73.02;42.16;7.01;4.85;76;64
DN65xDN40;73.02;48.26;7.01;5.08;76;67
DN65xDN50;73.02;60.32;7.01;5.54;76;70
DN65xDN65;73.02;73.02;7.01;7.01;76;76
DN80xDN32;88.9;42.16;7.62;4.85;86;70
DN80xDN40;88.9;48.26;7.62;5.08;86;73
DN80xDN50;88.9;60.32;7.62;5.54;86;76
DN80xDN80;88.9;88.9;7.62;7.62;86;86
DN90xDN90;101.6;101.6;8.08;8.08;95;95
DN100xDN40;114.3;48.26;8.56;5.08;105;86
DN100xDN50;114.3;60.32;8.56;5.54;105;89
DN100xDN80;114.3;88.9;8.56;7.62;105;98
DN100xDN100;114.3;114.3;8.56;8.56;105;105
DN125xDN125;141.3;141.3;9.52;9.52;124;124
DN150xDN80;168.27;88.9;10.97;7.62;143;124
DN150xDN100;168.27;114.3;10.97;8.56;143;130
DN150xDN150;168.27;168.27;10.97;10.97;143;143
DN200xDN100;219.07;114.3;12.7;8.56;178;156
DN200xDN150;219.07;168.27;12.7;10.97;178;168
DN200xDN200;219.07;219.07;12.7;12.7;178;178
DN250xDN100;273.05;114.3;12.7;8.56;216;184
DN250xDN150;273.05;168.27;12.7;10.97;216;194
DN250xDN200;273.05;219.07;12.7;12.7;216;203
DN250xDN250;273.05;273.05;12.7;12.7;216;216
DN300xDN150;323.85;168.27;12.7;10.97;254;219
DN300xDN200;323.85;219.07;12.7;12.7;254;229
DN300xDN250;323.85;273.05;12.7;12.7;254;241
DN300xDN300;323.85;323.85;12.7;12.7;254;254
DN350xDN150;355.6;168.27;12.7;10.97;279;238
DN350xDN200;355.6;219.07;12.7;12.7;279;248
DN350xDN250;355.6;273.05;12.7;12.7;279;257
DN350xDN300;355.6;323.85;12.7;12.7;279;270
DN350xDN350;355.6;355.6;12.7;12.7;279;279
DN400xDN150;406.4;168.27;12.7;10.97;305;264
DN400xDN200;406.4;219.07;12.7;12.7;305;273
DN400xDN250;406.4;273.05;12.7;12.7;305;283
DN400xDN300;406.4;323.85;12.7;12.7;305;295
DN400xDN350;406.4;355.6;12.7;12.7;305;305
DN400xDN400;406.4;406.4;12.7;12.7;305;305
DN450xDN200;457.2;219.07;12.7;12.7;343;298
DN450xDN250;457.2;273.05;12.7;12.7;343;308
DN450xDN300;457.2;323.85;12.7;12.7;343;321
DN450xDN350;457.2;355.6;12.7;12.7;343;330
DN450xDN400;457.2;406.4;12.7;12.7;343;330
DN450xDN450;457.2;457.2;12.7;12.7;343;343
DN500xDN200;508;219.07;12.7;12.7;381;324
DN500xDN250;508;273.05;12.7;12.7;381;333
DN500xDN300;508;323.85;12.7;12.7;381;346
DN500xDN350;508;355.6;12.7;12.7;381;356
DN500xDN400;508;406.4;12.7;12.7;381;356
DN500xDN450;508;457.2;12.7;12.7;381;368
DN500xDN500;508;508;12.7;12.7;381;381
DN550xDN250;558.8;273.05;12.7;12.7;419;359
DN550xDN300;558.8;323.85;12.7;12.7;419;371
DN550xDN350;558.8;355.6;12.7;12.7;419;381
DN550xDN400;558.8;406.4;12.7;12.7;419;381
DN550xDN450;558.8;457.2;12.7;12.7;419;394
DN550xDN500;558.8;508;12.7;12.7;419;406
DN550xDN550;558.8;558.8;12.7;12.7;419;419
DN600xDN250;609.6;273.05;12.7;12.7;432;384
DN600xDN300;609.6;323.85;12.7;12.7;432;397
DN600xDN350;609.6;355.6;12.7;12.7;432;406
DN600xDN400;609.6;406.4;12.7;12.7;432;406
DN600xDN450;609.6;457.2;12.7;12.7;432;419
DN600xDN500;609.6;508;12.7;12.7;432;432
DN600xDN550;609.6;558.8;12.7;12.7;432;432
DN600xDN600;609.6;609.6;12.7;12.7;432;432
